Endpoint URL,Summary,SPARQL Endpoint,Version,Turtle,XML,CSV,JSON,1.0 ASK[.],1.0 CON[.],1.0 CON[JOIN],1.0 CON[OPT],1.1 ASK[FIL(!IN)],1.1 CON-[.],1.1 SEL[AVG],1.1 SEL[BIND],1.1 SEL[FIL(!EXISTS)],Custom Query
http://156.35.82.103/sparql,X,156.35.82.103,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://202.45.142.113:10035/repositories/agris,X,202.45.142.113:10035,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://13.125.246.132/sparql,X,13.125.246.132,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://156.35.31.156/sparql,X,156.35.31.156,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://91.239.64.176:8890/sparql,X,91.239.64.176:8890,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://185.94.71.25:62020/snorql,X,185.94.71.25:62020,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://202.73.13.50:55824/catalogs/performance/repositories/agrovoc,X,202.73.13.50:55824,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://202.73.13.50:55824/catalogs/performance/repositories/jita,X,202.73.13.50:55824,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://193.145.57.56:8890/sparql,X,193.145.57.56:8890,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://140.109.28.64:2020/sparql,X,140.109.28.64:2020,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://212.81.220.68:2020/elviajero,X,212.81.220.68:2020,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://202.45.139.84:10035/catalogs/fao/repositories/agris,X,202.45.139.84:10035,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://202.45.139.84:10035/catalogs/fao/repositories/agrovoc,X,202.45.139.84:10035,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://lod.ac/bdls/sparql,X,lod.ac,1.0 (inferred) HTML,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,error: 500 Internal Server Error,-
http://resource.geolba.ac.at/poolparty/sparql/geologicunit,X,resource.geolba.ac.at,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://resource.geolba.ac.at/poolparty/sparql/tectonicunit,X,resource.geolba.ac.at,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://resource.geolba.ac.at/poolparty/sparql/geologictimescale,X,resource.geolba.ac.at,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://resource.geolba.ac.at/poolparty/sparql/lithology,X,resource.geolba.ac.at,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://vocabulary.semantic-web.at/poolparty/sparql/austrianskiteam,X,vocabulary.semantic-web.at,error 406,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,-
http://vocabulary.semantic-web.at/poolparty/sparql/semweb,X,vocabulary.semantic-web.at,error 406,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,-
http://vocabulary.semantic-web.at/poolparty/sparql/opendata,X,vocabulary.semantic-web.at,error 406,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,error: 406 Not Acceptable,-
http://el-devtc01.tugraz.at/~ldv/interlinking/endpoint_handler.php,X,el-devtc01.tugraz.at,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://lab.environment.data.gov.au/sparql,X,lab.environment.data.gov.au,error 503,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,error: 503 Service Unavailable,-
http://aseg.cs.concordia.ca/secold/sparqlendpoint,X,aseg.cs.concordia.ca,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://sparql.cwrc.ca/sparql,X,sparql.cwrc.ca,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://canlink.library.ualberta.ca/sparql,G,canlink.library.ualberta.ca,1.1 (inferred) Ttl,yes Ttl,yes XML,yes CSV,yes Json,yes Ttl,yes Ttl,yes Ttl,yes Ttl,yes Ttl,yes Ttl,yes Ttl,yes Ttl,yes Ttl,-
http://datos.bcn.cl/sparql,G,datos.bcn.cl,1.1 (inferred) Ttl,yes Ttl,yes XML,yes CSV,yes Json,yes XML,yes Ttl,yes Ttl,yes Ttl,yes XML,yes Ttl,yes XML,yes XML,yes XML,-
http://imgpedia.dcc.uchile.cl/sparql,G,imgpedia.dcc.uchile.cl,1.1 (inferred) Ttl,yes Ttl,yes XML,yes CSV,yes Json,yes Ttl,yes Ttl,error: 502 Proxy Error,yes Ttl,yes Ttl,yes Ttl,yes Ttl,yes Ttl,yes Ttl,-
http://geografia.ideca.gov.co/fuseki/dataset.html?tab=query&ds=/inf,X,geografia.ideca.gov.co,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://agrinepaldata.com/sparql,X,agrinepaldata.com,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://api.aucklandmuseum.com,X,api.aucklandmuseum.com,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://bibleontology.com/sparql/index.jsp,X,bibleontology.com,error 404,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,-
http://rijksmuseum.dydra.com/lizzyjongma/rijksmuseum-collection/sparql,X,rijksmuseum.dydra.com,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
http://www.imagesnippets.com/sparql/images,G,www.imagesnippets.com,error 404,no: got XML,yes XML,yes CSV,yes Json,yes Json,yes Ttl,yes Ttl,yes Ttl,yes Json,yes Ttl,yes Json,yes Json,yes Json,-
http://www.kanzaki.com/works/2011/stat,I,www.kanzaki.com,1.0 (inferred) HTML,error: Reported HTML is XML,error: Reported HTML is XML,error: Reported HTML is XML,error: Reported HTML is Json,error: Reported HTML is XML,error: Reported HTML is XML,error: Unexpected response type HTML,error: Reported HTML is XML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Reported HTML is XML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://kasabi.com/api/sparql-endpoint-foodista,X,kasabi.com,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
http://api.kasabi.com/dataset/prelinger-archives/apis/sparql,X,api.kasabi.com,1.0 (inferred) HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
