Endpoint URL,Summary,SPARQL Endpoint,Version,Turtle,XML,CSV,JSON,1.0 ASK[.],1.0 CON[.],1.0 CON[JOIN],1.0 CON[OPT],1.1 ASK[FIL(!IN)],1.1 CON-[.],1.1 SEL[AVG],1.1 SEL[BIND],1.1 SEL[FIL(!EXISTS)],Custom Query
https://sparql.geo.admin.ch/sparql,G,sparql.geo.admin.ch,1.0 (inferred),yes,no: got Ttl,no: got Ttl,no: got Ttl,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://lindas-data.ch/sparql-ui,X,lindas-data.ch,error 404,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,-
https://api.aucklandmuseum.com/sparql,G,api.aucklandmuseum.com,1.0 (inferred),error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,yes,error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,error: 400 Bad Request,-
https://dydra.com/markw/polyadenylation-sites-in-magnaporthe-oryza/sparql,,dydra.com,1.1 (inferred),...,yes,yes,yes,...,yes,...,yes,error: 502 Bad Gateway,yes,...,...,...,-
https://idsm.elixir-czech.cz/sparql/endpoint/idsm,G,idsm.elixir-czech.cz,1.0 (inferred),error: 406 406,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://data.gov.cz/sparql,G,data.gov.cz,1.1 (inferred),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://linked.opendata.cz/sparql,X,linked.opendata.cz,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
https://ruian.linked.opendata.cz/sparql,G,ruian.linked.opendata.cz,1.1 (inferred),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://nkod.opendata.cz/sparql,X,nkod.opendata.cz,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
https://eagle-i.ctsi.msu.edu/sparqler/sparql,X,eagle-i.ctsi.msu.edu,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
https://dbmi-icode-01.dbmi.pitt.edu/sparql,G,dbmi-icode-01.dbmi.pitt.edu,1.1 (inferred),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://dbmi-icode-01.dbmi.pitt.edu/dikb/sparql,X,dbmi-icode-01.dbmi.pitt.edu,error 404,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,-
https://eagle-i.itmat.upenn.edu/sparqler/sparql,G,eagle-i.itmat.upenn.edu,1.0 (inferred),error: 406 Not Acceptable,yes,error: 406 Not Acceptable,error: 406 Not Acceptable,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://eagle-i.ea.vanderbilt.edu/sparqler/sparql,X,eagle-i.ea.vanderbilt.edu,unknown: error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,error: network DNS or CORS,-
https://opendata.aragon.es/sparql,G,opendata.aragon.es,1.1 (inferred),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://datos.gob.es/en/sparql,X,datos.gob.es,1.0 (inferred),error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,error: Unexpected response type HTML,-
https://lov.linkeddata.es/dataset/lov/sparql,G,lov.linkeddata.es,1.0 (inferred),no: got XML,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,-
https://joinup.ec.europa.eu/sparql,X,joinup.ec.europa.eu,error 404,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,error: 404 Not Found,-
https://semantic.eea.europa.eu/sparql,G,semantic.eea.europa.eu,1.0 (inferred),yes,yes,yes,error: network DNS or CORS,yes,yes,error: network DNS or CORS,yes,yes,yes,yes,yes,yes,-
